dimension;identifier;desc_eng;details_eng;desc_swe;details_swe
Byggdelar;13G;Thermal insulation in soil for the protection of construction works;;Termisk isolering i mark för skydd av byggnadsverk;
Byggdelar;13GS;Thermal insulation in soil for the protection of buildings;;Termisk isolering i mark för skydd av hus;
Byggdelar;14;LAYERS IN SOIL FOR THE PROTECTION OF NATURE;;LAGER I MARK FÖR SKYDD AV NATUR;
Byggdelar;14B;Filling for the protection of root systems;;Fyllning för skydd av rotsystem;
Byggdelar;15;FOUNDATION STRUCTURES;;GRUNDKONSTRUKTIONER;
Byggdelar;15A;Compound foundation structures;;Sammansatta grundkonstruktioner;
Byggdelar;15B;Foundation structures for facilities;;Grundkonstruktioner för anläggning;
Byggdelar;15BB;Piles;;Pålar;
Byggdelar;15BC;Foundation piles;;Grundplintar;
Byggdelar;15BE;Pile plinths and pile plates;;Pålplintar och pålplattor;
Byggdelar;15BF;Pillar posts in base structure;;Pelarholkar i grundkonstruktion;
Byggdelar;15BG;Foundation slabs, complete;;Grundplattor, hela;
Byggdelar;15BH;Foundation soles;;Grundsulor;
Byggdelar;15BJ;Foundation beams;;Grundbalkar;
Byggdelar;15BK;Foundation walls;;Grundmurar;
Byggdelar;15BL;Pile decks;;Påldäck;
Byggdelar;15BT;Foundations in basic construction;;Fundament i grundkonstruktion;
Byggdelar;15BU;Complements to the basic structure;;Kompletteringar i grundkonstruktion;
Byggdelar;15BUB;Anchorages in the foundation;;Förankringar i grundkonstruktion;
Byggdelar;15BZ;Other foundation structures for facility;;Övriga grundkonstruktioner för anläggning;
Byggdelar;15S;Foundation structures for buildings;;Grundkonstruktioner för hus;
Byggdelar;15SB;Piles;;Pålar;
Byggdelar;15SC;Foundation piles;;Grundplintar;
Byggdelar;15SE;Pile plinths and pile plates;;Pålplintar och pålplattor;
Byggdelar;15SF;Pillar posts in foundation construction;;Pelarholkar i grundkonstruktion;
Byggdelar;15SG;Foundation slabs, complete;;Grundplattor, hela;
Byggdelar;15SH;Foundation soles;;Grundsulor;
Byggdelar;15SJ;Foundation beams;;Grundbalkar;
Byggdelar;15SK;Foundation walls;;Grundmurar;
Byggdelar;15SL;Pile decks;;Påldäck;
Byggdelar;15ST;Foundations in basic construction;;Fundament i grundkonstruktion;
Byggdelar;15SU;Complements to the basic structure;;Kompletteringar i grundkonstruktion;
Byggdelar;15SUB;Anchorages in the foundation;;Förankringar i grundkonstruktion;
Byggdelar;15SZ;Other basic constructions for buildings;;Övriga grundkonstruktioner för hus;
Byggdelar;16;SUPPORTING STRUCTURES;;STÖDKONSTRUKTIONER;
Byggdelar;16B;Support structures in facilities;;Stödkonstruktioner i anläggning;
Byggdelar;16BB;Sheet piling;;Spont;
Byggdelar;16BBB;Non-watertight sheet piles;;Icke vattentät spont;
Byggdelar;16BBC;Watertight sheet piles;;Vattentät spont;
Byggdelar;16BC;Retaining walls;;Stödmurar;
Byggdelar;16BD;Earth reinforcement;;Jordarmering;
Byggdelar;16BE;Troughs;;Tråg;
Byggdelar;16BEB;Non-watertight trough;;Icke vattentätt tråg;
Byggdelar;16BEC;Watertight trough;;Vattentätt tråg;
Byggdelar;16BZ;Other supporting structures;;Övriga stödkonstruktioner;
Byggdelar;17;TUNNEL AND ROCK STRUCTURES;;TUNNEL- OCH BERGRUMSKONSTRUKTIONER;
Byggdelar;17B;Tunnel contour;;Tunnelkontur;
Byggdelar;17BB;Theoretical tunnel contour;;Teoretisk tunnelkontur;
Byggdelar;17BB1;Theoretical tunnel contour-roof;;Teoretisk tunnelkontur-Tak;
Byggdelar;17BB2;Theoretical tunnel contour-Walls;;Teoretisk tunnelkontur-Väggar;
Byggdelar;17BB3;Theoretical tunnel contour-Bottom;;Teoretisk tunnelkontur-Botten;
Byggdelar;17BB4;Theoretical tunnel contour-Detail shaft;;Teoretisk tunnelkontur-Detaljschakt;
Byggdelar;17BB5;Dummy 17BB5;;Dummy 17BB5;
Byggdelar;17BB50;Right side tunnel contour;;Höger sida tunnelkontur;
Byggdelar;17BB51;Left side tunnel contour;;Vänster sida tunnelkontur;
Byggdelar;17BC;Theoretical internal tunnel contour;;Teoretisk invändig tunnelkontur;
Byggdelar;17C;Roof and wall drainage;;Tak- och väggdränering;
Byggdelar;17D;Rock reinforcement with shotcrete;;Bergförstärkning med sprutbetong;
Byggdelar;17E;Sealing;;Tätning;
Byggdelar;17F;Rock anchors;;Bergförankringar;
Byggdelar;18;CONCRETE TUNNELS;;BETONGTUNNLAR;
Byggdelar;18B;Concrete tunnel;;Betongtunnel;
Byggdelar;18C;Anchoring to bedrock;;Förankring mot berggrund;
Byggdelar;18CB;Rock anchoring;;Bergförankring;
Byggdelar;18D;Casting against rock;;Motgjutning mot berg;
Byggdelar;18DB;Spacers;;Mellanlägg;
Byggdelar;18DC;Insulating mat;;Isolermatta;
Byggdelar;18E;Frost protection;;Frostsäkring;
Byggdelar;18F;Fire insulation;;Brandisolering;
Byggdelar;18G;Surface cladding;;Ytbeklädnad;
Byggdelar;18H;Joints;;Fogar;
Byggdelar;18HB;Expansion joints;;Dilatationsfogar;
Byggdelar;18HC;Working and casting joints;;Arbets- och gjutfogar;
Byggdelar;18J;Joint seals;;Fogtätningar;
Byggdelar;18K;Injections;;Injekteringar;
Byggdelar;18KB;Contact injections;;Kontaktinjekteringar;
Byggdelar;18KC;Injection hoses;;Injekteringsslangar;
Byggdelar;18KD;Sealing of joints with roofing felt;;Förseglingar av gjutfog med takpapp;
Byggdelar;18L;Earthing and potential equalisation devices;;Jordning- och och potentialutjämningsanordningar;
Byggdelar;18M;Conduit culverts;;Ledningskulvertar;
Byggdelar;2;Support structures;;BÄRVERK;
Byggdelar;20;COMPOUND SUPPORT STRUCTURES;;SAMMANSATTA BÄRVERK;
Byggdelar;21;SUPPORT STRUCTURES IN FACILITY;;BÄRVERK I ANLÄGGNING;
Byggdelar;21B;Support structures in bridges, piers, quays, etc.;;Bärverk i bro, brygga, kaj o d;
Byggdelar;21BB;Support structures in bridges, piers, quays, etc.;;Bärverk i bro;
Byggdelar;21BBB;Bridge substructure;;Underbyggnad för bro;
Byggdelar;21BBBB;Bridge head;;Landfästen;
Byggdelar;21BBBC;Support;;Stöd;
Byggdelar;21BBBD;Sheet piling and retaining walls;;Vingmurar och stödmurar;
Byggdelar;21BBBE;End screens;;Ändskärmar;
Byggdelar;21BBC;Bridge superstructure;;Överbyggnad för bro;
Byggdelar;21BBD;Support structures (layers);;Upplagsanordningar (lager);
Byggdelar;21BBE;Main supporting structures;;Huvudbärverk;
Byggdelar;21BBF;Other supporting structures;;Övriga bärverk;
Byggdelar;21BBG;Runway slabs and bridge deck slabs;;Körbaneplattor och brobaneplattor;
Byggdelar;21BBH;Edge beams;;Kantbalkar;
Byggdelar;21BBI;Transition constructs;;Övergångskonstruktioner;
Byggdelar;21BBJ;Tubular bridge;;Rörbro;
Byggdelar;21BBK;Link plate;;Länkplatta;
Byggdelar;21BC;Support structures in bridge, quay, etc.;;Bärverk i brygga, kaj o d;
Byggdelar;21C;Support structures in tunnels, galleries, etc.;;Bärverk i tunnel, bergrum o d;
Byggdelar;21CB;Support structures in tunnel;;Bärverk i tunnel;
Byggdelar;21CC;Support structures in rock chamber;;Bärverk i bergrum;
Byggdelar;21D;Support structures in masts, towers, lighthouses, etc.;;Bärverk i mast, torn, fyr o d;
Byggdelar;21Z;Other support structures in facilities;;Övriga bärverk i anläggning;
Byggdelar;27;SUPPORT STRUCTURES IN BUILDING FRAME;;BÄRVERK I HUSSTOMME;
Byggdelar;27A;Compound support structures in building frame;;Sammansatta bärverk i husstomme;
Byggdelar;27B;Inner framewalls;;Stominnerväggar;
Byggdelar;27BA;Compound inner framewalls;;Stominnerväggar, sammansatta;
Byggdelar;27C;Outer framewalls;;Stomytterväggar;
Byggdelar;27CA;Compound outer framewalls;;Stomytterväggar sammansatta;
Byggdelar;27D;Pillar frame;;Pelarstomme;
Byggdelar;27DA;Pillars, compound;;Pelare, sammansatta;
Byggdelar;27E;Beams;;Balkstommar;
Byggdelar;27EA;Beams, compound;;Balkstommar, sammansatta;
Byggdelar;27F;Pillar joists;;Stombjälklag;
Byggdelar;27FA;Compound pilar joists;;Stombjälklag, sammansatta;
Byggdelar;27G;External roof and beam columns;;Yttertaks- och ytterbjälklagsstommar;
Byggdelar;27GA;Compound external roof and beam columns;;Yttertaks- och ytterbjälklagsstommar, sammansatta;
Byggdelar;27H;Ancillary support structure in building frame;;Kompletterande bärverk i husstomme;
Byggdelar;27HA;Compound ancillary support structure;;Kompletterande bärverk, sammansatta;
Byggdelar;27HB;Staircase frames in building frame;;Trappstommar i husstomme;
Byggdelar;27HC;Balustrades in building frame;;Balkongstommar i husstomme;
Byggdelar;27HD;Loft access frames in building frame;;Loftgångsstommar i husstomme;
Byggdelar;27HE;Loading bay frames in building frame;;Lastkajsstommar i husstomme;
Byggdelar;27HF;Shafts in building frame;;Schaktstommar i husstomme;
Byggdelar;27HFB;Elevator shafts in building frame;;Hisschaktstommar i husstomme;
Byggdelar;27Z;Other supporting structures in building frames;;Övriga bärverk i husstomme;
Byggdelar;3;SUPERSTRUCTURES AND ANCILLARY STRUCTURES;;ÖVERBYGGNADER OCH ANLÄGGNINGSKOMPLETTERINGAR;
Byggdelar;31;SUPERSTRUCTURES;;ÖVERBYGGNADER;
Byggdelar;31B;Superstructures for roads and flat areas;;Överbyggnader för väg och plan;
Byggdelar;31BB;Midways;;Mittvägrenar;
Byggdelar;31BC;Carriageways;;Körbanor;
Byggdelar;31BD;Road verges;;Vägrenar;
Byggdelar;31BE;Support strips;;Stödremsor;
Byggdelar;31BF;Flat areas etc.;;Planer o d;
Byggdelar;31BFB;Turning point;;Vändplats;
Byggdelar;31BFC;Industrial area;;Industriyta;
Byggdelar;31BFD;Parking space for vehicles;;Uppställningsplats för fordon;
Byggdelar;31BFE;Square and public space;;Torg- och vistelseyta;
Byggdelar;31BFF;Sports field;;Idrottsplan;
Byggdelar;31BG;Pedestrian and bicycle paths;;Gång- och cykelbanor;
Byggdelar;31BH;Centre support strip;;Mittstödremsa;
Byggdelar;31BJ;Road superstructure, wear layer/pavement;;Överbyggnad för Väg, Slitlager/beläggning;
Byggdelar;31BK;Road superstructure, binding layer;;Överbyggnad för Väg, Bindlager;
Byggdelar;31BL;Road superstructure, support layer;;Överbyggnad för Väg, Bärlager;
Byggdelar;31BM;Road superstructure, reinforcement layer;;Överbyggnad för Väg, Förstärkningslager;
Byggdelar;31C;Track superstructures;;Överbyggnader för spåranläggning;
Byggdelar;31CB;Superstructure for track installation in street;;Överbyggnad för spåranläggning i gata;
Byggdelar;31CC;Superstructure for track installation on embankment;;Överbyggnad för spåranläggning på banvall;
Byggdelar;31CCB;Underballast;Moving to 31CK?;Underballast;Flyttas till 31CK?
Byggdelar;31CCC;Overballast;;Överballast;
Byggdelar;31CCD;Track slab;;Spårplatta;
Byggdelar;31CJ;Track superstructure;;Banöverbyggnad;
Byggdelar;31CJB;Ballast;;Ballast;
Byggdelar;31CJC;Track plate;;Spårplatta;
Byggdelar;31CK;Underballast;;Underballast;
Byggdelar;31CKB;Reinforcing bearings;;Förstärkningslager;
Byggdelar;31CKC;Frost insulation;Frost insulation (sub-ballast with frost insulation function - there are also thermally insulating layers in cellular plastic which are also frost insulation);Frostisolering;Frostisolering (underballast med funktion frostisolering - finns även termoisolerande lager i cellplast som också är frostisolering)
Byggdelar;31CZ;Other track superstructures;;Övriga spåröverbyggnader;
Byggdelar;31D;Superstructures for airport runways;;Överbyggnader för flygplatsbanor;
Byggdelar;31E;Superstructures for slopes;;Överbyggnader för slänter;
Byggdelar;31EB;Inner slope;;Innerslänt;
Byggdelar;31EBB;Inner slope for road;;Innerslänt för väg;
Byggdelar;31EBC;Inner slope for railway;;Innerslänt för järnväg;
Byggdelar;31EC;Surface slope;;Ytterslänt;
Byggdelar;31ECB;Surface slope for road;;Yttterslänt för väg;
Byggdelar;31ECC;Surface slope for railway;;Ytterslänt för järnväg;
Byggdelar;31ED;Slope protection;;Släntskydd;
Byggdelar;31EDB;Erosion protection;;Erosionsskydd;
Byggdelar;31EDC;Slope cladding;;Släntbeklädnad;
Byggdelar;31EDD;Slope drainage;;Släntdränering;
Byggdelar;31EDE;Plant bed incl. spray sowing and plant establishment;;Växtbädd inkl sprutsådd och växtetablering;
Byggdelar;31F;Superstructures for vegetation surfaces;;Överbyggnader för vegetationsytor;
Byggdelar;31FB;Natural land;;Naturmark;
Byggdelar;31FC;Grass areas;;Gräsytor;
Byggdelar;31FCB;Intensive;;Intensiva;
Byggdelar;31FCC;Extensive;;Extensiva;
Byggdelar;31FD;Planting areas;;Planteringsytor;
Byggdelar;31FE;Additions to vegetation areas;;Kompletteringar till vegetationsytor;
Byggdelar;31FEB;Air wells;;Luftbrunnar;
Byggdelar;31H;Road bridge superstructures;;Överbyggnader för vägbro;
Byggdelar;31HB;Transition construction;;Övergångskonstruktion;
Byggdelar;31HC;Edge beam;;Kantbalk;
Byggdelar;31HD;Beam;;Balk;
Byggdelar;31HE;Pavement for road bridge;;Beläggning för vägbro;
Byggdelar;31HF;Waterproofing;;Tätskikt;
Byggdelar;31J;Superstructures for railway bridges;;Överbyggnader för järnvägsbro;
Byggdelar;31K;Superstructures for quay;;Överbyggnader för kaj o d;
Byggdelar;31KB;Superstructures for platforms;;Överbyggnader för plattformar;
Byggdelar;31L;Superstructures for dams, dikes, etc.;;Överbyggnader för dammar, vallar o d;
Byggdelar;31LB;Superstructures for embankments;;Överbyggnader för vallar;
Byggdelar;31LBB;Superstructures for noise barriers;;Överbyggnader för bullervallar;
Byggdelar;31LC;Superstructures for dams;;Överbyggnader för dammar;
Byggdelar;31Y;Miscellaneous ground superstructures;;Diverse överbyggnader i mark;
Byggdelar;31YB;Sand surfaces;;Sandytor;
Byggdelar;31YC;Surfaces covered with artificial materials;;Ytor belagda med konstmaterial;
Byggdelar;31YD;Paved surfaces, natural stone;;Hårdgjorda ytor, natursten;
Byggdelar;31Z;Other superstructures;;Övriga överbyggnader;
Byggdelar;32;FACILITY COMPLETIONS;;ANLÄGGNINGSKOMPLETTERINGAR;
Byggdelar;32B;Traffic facilities;;Trafikanordningar;
Byggdelar;32BB;Signs;;Skyltar;
Byggdelar;32BBB;Road traffic signs;;Skyltar för vägtrafik;
Byggdelar;32BBC;Rail traffic signs;;Skyltar för spårbunden trafik;
Byggdelar;32BC;Markings;;Markeringar;
Byggdelar;32BCB;Road and surface markings;;Väg- och ytmarkeringar;
Byggdelar;32BCBB;Visual markings;;Visuella markeringar;
Byggdelar;32BCBC;Noise markings;;Bullermarkeringar;
Byggdelar;32BCD;Posts, bollards, kerbstones, etc.;;Pålar, pollare, kantstolpar o d;
Byggdelar;32BCDB;Distance posts;;Distanspålar;
Byggdelar;32BCDC;Obstacle posts;;Hinderpålar;
Byggdelar;32BCDD;Kerbstones;;Kantstolpar;
Byggdelar;32BCDE;Marker posts;;Markeringsstolpar;
Byggdelar;32BD;Barriers;;Avstängningsanordningar;
Byggdelar;32BDB;Bars;;Bommar;
Byggdelar;32BDC;Bollards;;Pollare;
Byggdelar;32BDD;Road barriers;;Vägspärrar;
Byggdelar;32BDE;Movable barriers;;Flyttbar avstängningsanordning;
Byggdelar;32BE;Parking meters, ticket machines, etc.;;Parkeringsmätare, biljettautomater m m;
Byggdelar;32BG;Portals, signposts, etc.;;Portaler, skyltbryggor o d;
Byggdelar;32BGB;Protection portals;;Skyddsportaler;
Byggdelar;32BGC;Signposts;;Skyltbryggor;
Byggdelar;32BH;Traffic signals;;Trafiksignaler;
Byggdelar;32C;Road devices;;Väganordningar;
Byggdelar;32CB;Railings for road, area, etc.;;Räcken för väg, plan o d;
Byggdelar;32CBB;Railing ends;;Räckesavslutningar;
Byggdelar;32CC;Fences;;Stängsel;
Byggdelar;32CD;Noise protection;;Bullerskydd;
Byggdelar;32CE;Glare protection;;Bländskydd;
Byggdelar;32CF;Speed bumps;;Farthinder;
Byggdelar;32CG;Barrier elements;;Barriärelement;
Byggdelar;32CH;Energy absorbing crash protection;;Energiupptagande krockskydd;
Byggdelar;32CJ;Central barrier elements;;Mittbarriärelement;
Byggdelar;32CK;Risk protection;;Riskskydd;
Byggdelar;32CL;Road devices, Fences;;Väganordningar, Staket;
Byggdelar;32D;Railway devices;;Järnvägsanordningar;
Byggdelar;32DB;Protective devices;;Skyddsanordningar;
Byggdelar;32DBB;Protective devices on crossing bridges;;Skyddsanordningar på korsande broar;
Byggdelar;32DBC;Protection portals;;Skyddsportaler;
Byggdelar;32DBD;Shields;;Avskärmningar;
Byggdelar;32DC;Signs for electrical contact line systems;;Skyltning för kontaktledningssystem;
Byggdelar;32DCB;Warning signs;;Varningsskyltar;
Byggdelar;32DCC;Safety section panels;;Skyddssektionstavlor;
Byggdelar;32DCD;Circuit-breaker panels and signals;;Elspärrtavlor och elspärrsignaler;
Byggdelar;32DCE;Stop prohibition signs;;Stoppförbudstavlor;
Byggdelar;32DCF;Signs for group limits;;Skyltning för gruppgränser;
Byggdelar;32E;Curbs, gutters, etc.;;Kantstöd, ränndalar o d;
Byggdelar;32EB;Curbs;;Kantstöd;
Byggdelar;32F;Ditches;;Diken;
Byggdelar;32FB;Road ditches;Not used in OL;Vägdiken;Används ej i OL
Byggdelar;32FBB;Permeable road ditches;;Permeabla;
Byggdelar;32FBC;Sealed road ditches;;Täta;
Byggdelar;32G;Terrain steps;;Terrängtrappor;
Byggdelar;32H;Terrain walls;;Terrängmurar;
Byggdelar;32J;Fixed equipment in the ground;;Fasta utrustningar i mark;
Byggdelar;32JB;Park furniture;;Parkmöbler;
Byggdelar;32JC;Play equipment;;Lekutrustning;
Byggdelar;32JD;Sports equipment;;Idrottsutrustning;
Byggdelar;32JE;Pergolas, trellises, etc.;;Pergolor, spaljéer m m;
Byggdelar;32JF;Litter bins, ashtrays, etc.;;Skräpkorgar, askkoppar m m;
Byggdelar;32JG;Bicycle racks etc.;;Cykelställ e d;
Byggdelar;32JH;Plant supports;;Stöd för växter;
Byggdelar;32JJ;Protection for plants;;Skydd för växter;
Byggdelar;32JJB;Ground grids;;Markgaller;
Byggdelar;32JJC;Trunk protection;;Stamskydd;
Byggdelar;32JZ;Other equipment;;Övrig utrustning;
Byggdelar;32K;Ornaments in the ground;;Utsmyckningar i mark;
Byggdelar;32L;Plant material;;Växtmaterial;
Byggdelar;32M;Devices for bridge;;Anordningar för bro;
Byggdelar;32MB;Bridge deck;;Broräcke;
Byggdelar;32N;Facilities for jetty, quay, etc.;;Anordningar för brygga, kaj o d;
Byggdelar;32NB;Facilities for loading quay;;Anordningar för lastkaj;
Byggdelar;32NC;Roofing for jetty, quay, etc.;;Tak för brygga, kaj o d;
Byggdelar;32P;Facilities for platform;;Anordningar för plattform;
Byggdelar;32PB;Protection devices for platform;;Skyddsanordningar för plattform;
Byggdelar;32PBB;Platform railing;;Räcke på plattform;
Byggdelar;32PBC;Gangway/rail on platform;;Gångfålla/grind på plattform;
Byggdelar;32PC;Platform roof;;Tak för plattform;
Byggdelar;32Q;Railings, fences, picket fences, planks, etc.;;Räcken, stängsel, staket, plank m m;
Byggdelar;32QB;Railings for pedestrian and cycle paths etc.;;Räcken för gång- och cykelväg o d;
Byggdelar;32QBB;Parking rails;;Parkeringsräcken;
Byggdelar;32QC;Stair railings, handrails, etc.;;Trappräcken, ledstänger o d;
Byggdelar;32QD;Fencing;;Stängsel;
Byggdelar;32QDB;Fencing for people;;Personstängsel;
Byggdelar;32QDC;Fencing for game and animals;;Viltstängsel;
Byggdelar;32QE;Fences;;Staket;
Byggdelar;32QF;Plank;;Plank;
Byggdelar;32QG;Gates, gateways etc.;;Grindar, portar o d;
Byggdelar;32R;Noise protection;;Bullerskydd;
Byggdelar;32Z;Other construction complements;;Övriga anläggningskompletteringar;
Byggdelar;32ZB;Ponds, pools, etc.;;Dammar, bassänger o d;
Byggdelar;32ZBB;Ponds;;Dammar;
Byggdelar;32ZBBB;Pond slope;;Dammslänt;
Byggdelar;32ZBBC;Pond bottom;;Dammbotten;
Byggdelar;32ZBBD;Pond valley;;Dammvall;
Byggdelar;32ZBBE;Diversion ditch;;Fördelningsdike;
Byggdelar;32ZBBF;Flow barrier;;Flödesbarriär;
Byggdelar;32ZBBG;Flow barrier, filling;;Flödesbarriär, fyllning;
Byggdelar;33;TRACK FACILITIES;;SPÅRANLÄGGNINGAR;
Byggdelar;33B;Tracks;;Spår;
Byggdelar;33BB;Track and switch geometries;;Spår- och växelgeometrier;
Byggdelar;33BBC;Horizontal geometry;;Horisontalgeometri;
Byggdelar;33BBD;Measuring points;;Mätpunkter;
Byggdelar;33BBE;Points of interchange;;Växelpunkter;
Byggdelar;33BBEB;Mathematical crossing point;;Matematisk korsningspunkt;
Byggdelar;33BBEC;Last longitudinal slip main track;;Sista långsliper huvudspår;
Byggdelar;33BBED;Last longitudinal slipper side track;;Sista långsliper sidospår;
Byggdelar;33BBEE;Tongue tip;;Tungspets;
Byggdelar;33BBF;Vertical geometry;;Vertikalgeometri;
Byggdelar;33BBG;Dummy 33BBG;;Dummy 33BBG;
Byggdelar;33BBG1;Rear crossing joint in main track;;Bakre korsningsskarv i huvudspår;
Byggdelar;33BBG2;Rear crossing joint in side track;;Bakre korsningsskarv i sidospår;
Byggdelar;33BBH;Front support rail joint;;Främre stödrälsskarv;
Byggdelar;33BC;Rails and rail joints;;Räler och rälsskarvar;
Byggdelar;33BCB;Rails;;Räler;
Byggdelar;33BCBB;Vignole rails;;Vignolräler;
Byggdelar;33BCBC;Protection rails;;Skyddsräler;
Byggdelar;33BCBD;Guide rails;;Ledräler;
Byggdelar;33BCBE;Track rails;;Spårvägsräl;
Byggdelar;33BCD;Rail joints;;Rälsskarvar;
Byggdelar;33BCDB;Expansion joint;;Dilatationsskarv;
Byggdelar;33BCDC;Moving bridge joint;;Rörlig broskarv;
Byggdelar;33BCDD;Splice rail joint;;Rälsskarv i skarvspår;
Byggdelar;33BCDE;Insulated joint;;Isolerskarv;
Byggdelar;33BCDF;Rail weld;;Rälssvets;
Byggdelar;33BD;Sleepers (railroad ties);;Sliprar;
Byggdelar;33BDB;Ballast sleepers (railroad ties);Filed as 33BCB-. This appears to be a misspelling, adjusted to the current code.;Sliprar i ballast;Låg inlagd som 33BCB-. Detta verkar vara en felskrivning, justerad till nuvarande kod.
Byggdelar;33BDC;Sleepers (railroad ties) for ballast free track;;Sliprar för ballastfritt spår;
Byggdelar;33BE;Fasteners for rails;;Fästanordningar för räler;
Byggdelar;33BEB;Fasteners;;Befästningar;
Byggdelar;33BEC;Rail gauge;;Spårhållare;
Byggdelar;33BED;Rail migration barriers;;Rälsvandringshinder;
Byggdelar;33BF;Spacers;;Mellanlägg;
Byggdelar;33BFB;Wedges;;Kilar;
Byggdelar;33BFC;Clamping plates;;Klämplattor;
Byggdelar;33BFD;Spacers;;Mellanlägg;
Byggdelar;33BG;Devices at switches and crossings;;Anordningar i växlar och spårkorsningar;
Byggdelar;33BGB;Tongue devices;;Tunganordningar;
Byggdelar;33BGC;Spacers;;Mellanpartier;
Byggdelar;33BGD;Counter rails;;Moträler;
Byggdelar;33BGE;Crossings;;Korsningar;
Byggdelar;33BH;Diversion devices;;Omläggningsanordningar;
Byggdelar;33BHB;Switch motor;;Växeldriv;
Byggdelar;33BHC;Switch boxes;;Växelställ;
Byggdelar;33BHD;Links;;Länkar;
Byggdelar;33BHE;Fittings;;Fästanordningar;
Byggdelar;33BHF;Balls and levers;;Klot och hävarmar;
Byggdelar;33BHG;Splitting locks;;Klykväxellås;
Byggdelar;33BHH;Stands;;Stativ;
Byggdelar;33BJ;Control devices;;Kontrollanordningar;
Byggdelar;33BK;Locking devices;;Låsanordningar;
Byggdelar;33C;Track accessories;;Spårkompletteringar;
Byggdelar;33CB;Road plates;;Vägplattor;
Byggdelar;33CC;Lubricators;;Smörjapparater;
Byggdelar;33CD;Snow guards;;Snöskydd;
